ID,Area,Assets,QR/Bar code,Description,Location,Name,Part Numbers,Teams in Charge,Thumbnail,Attachments,Types,URL,Minimum Quantity,Quantity in Stock,Reserved Quantity,Ordered Quantity,Unit Cost,Total Cost,Vendors,Created by,Created on,Last updated,Unique Identifier,Last Cycle Count,Available Quantity
8924285,,"Dry Room #2 Humidifier,Dry Room 3 Humidifier,Pre-Roll Room Humidifier,Processing Humidifier",,https://www.supplyhouse.com/Aprilaire-80-Replacement-Steam-Canister-for-Series-800-Humidifier?utm_source=google_ad&utm_medium=Shopping_HVAC&utm_campaign=Shopping_X_HVAC_X_SSC_ClassA&utm_campaignid=21633352680&utm_adgroupid=164986444045&utm_targetid=pla-2352614872518&utm_product_id=80&utm_matchtype=&utm_keyword=&utm_adtype=pla&utm_category=HVAC&gad_source=1&gclid=Cj0KCQjws-S-BhD2ARIsALssG0bVPg7FLOZX2pUJCAz6GLYZbYWjWLJtyYIgcT3INesFMflIjnyZxo8aAo6UEALw_wcB,Warehouse,Steam Canister,Brand: Aprilaire SKU: 80,,,,,https://app.getmaintainx.com/parts/8924285?organizationId=342508,1,0,0,0,,,SupplyHouse.com,Daniel Crawford,2025-03-18 14:52:28,2025-07-29 10:49:15,,,0
9008172,,Crown Electric Forklift,,,General Storage,Distilled Water,,,,,,https://app.getmaintainx.com/parts/9008172?organizationId=342508,1,0,0,0,,,,Daniel Crawford,2025-03-19 10:25:05,2025-07-29 10:49:01,,,0
9093928,,"Dry Room #1 HVAC #1,Dry Room #1 HVAC #2,Dry Room #2 HVAC #1,Dry Room #2 HVAC #2,Dry Room #3 HVAC #1,Dry Room #3 HVAC #2",,,General Storage,20x25x4 filter Merv 11,,,https://app.getmaintainx.com/api/s3/uploads/3bece321-6d95-4143-8f3e-ccfb013816e4_photo.jpeg,https://app.getmaintainx.com/api/s3/uploads/3bece321-6d95-4143-8f3e-ccfb013816e4_photo.jpeg,,https://app.getmaintainx.com/parts/9093928?organizationId=342508,1,-23,6,0,,,,Daniel Crawford,2025-03-25 15:14:24,2025-07-08 13:58:40,,,-29
7975223,,"Willow Air,Willow Air #2 - Processing,Willows Air Hash Lab",,https://shop.willowindustries.com/products/14x20-merv-13-filter,General Storage,14x20x1 Merv 13 Filter,,,,,,https://app.getmaintainx.com/parts/7975223?organizationId=342508,0,-48,12,0,,,,Daniel Crawford,2025-01-06 11:44:47,2025-07-29 10:37:52,,,-60
8287087,,"HVAC Unit # 8 (Astoria),HVAC Unit # 9 (Astoria),HVAC Unit #1 (Astoria),HVAC Unit #2 (Astoria),HVAC Unit #3 (Astoria),HVAC Unit #4 (Astoria),HVAC Unit #5 (Astoria),HVAC Unit #6 (Astoria),HVAC Unit #7",,,General Storage,10x20x1 Merv 8 Filter,,,,,,https://app.getmaintainx.com/parts/8287087?organizationId=342508,0,0,0,0,,,,Lucas Halaj,2025-02-04 14:29:04,2025-02-04 14:29:04,,,0
8287092,,"HVAC Unit # 8 (Astoria),HVAC Unit # 9 (Astoria),HVAC Unit #1 (Astoria),HVAC Unit #2 (Astoria),HVAC Unit #3 (Astoria),HVAC Unit #4 (Astoria),HVAC Unit #5 (Astoria),HVAC Unit #6 (Astoria),HVAC Unit #7",,,General Storage,10x10x1 Merv 8 Filter,,,,,,https://app.getmaintainx.com/parts/8287092?organizationId=342508,0,0,0,0,,,,Lucas Halaj,2025-02-04 14:29:44,2025-02-04 14:29:44,,,0
9096809,,"Harnois Exhaust Fan #1,Harnois Exhaust Fan #2,Harnois Exhaust Fan #3",,,General Storage,13X1900 A-75 Fan Belt,,,,,,https://app.getmaintainx.com/parts/9096809?organizationId=342508,1,-3,3,0,,,,Daniel Crawford,2025-03-26 07:39:05,2025-03-26 07:39:05,,,-6
